k,Silhouette_mean (cosine),Silhouette_mean (euclidean),ARI_mean,scaler,geometry,n_neighbors
9,0.202,0.117,0.944,L2 Normalization,nearest_neighbors,10
9,0.195,0.117,0.859,L2 Normalization,nearest_neighbors,8
9,0.206,0.116,0.966,Share of Top 30 (L1 Norm),nearest_neighbors,8
9,0.197,0.116,0.893,L2 Normalization,nearest_neighbors,9
9,0.195,0.116,0.921,L2 Normalization,nearest_neighbors,7
9,0.179,0.115,0.854,Share of Total,nearest_neighbors,10
9,0.171,0.115,0.923,Share of Top 30 (L1 Norm),nearest_neighbors,6
9,0.175,0.113,0.947,Share of Total,nearest_neighbors,7
9,0.199,0.112,0.997,Share of Top 30 (L1 Norm),nearest_neighbors,7
9,0.155,0.112,0.954,Share of Top 30 (L1 Norm),nearest_neighbors,5
9,0.162,0.111,0.891,Share of Total,nearest_neighbors,9
9,0.163,0.11,0.993,Share of Total,nearest_neighbors,6
9,0.158,0.108,0.995,Share of Top 30 (L1 Norm),nearest_neighbors,4
9,0.16,0.105,0.804,Share of Total,nearest_neighbors,4
9,0.156,0.105,0.912,Share of Total,nearest_neighbors,5
9,0.173,0.103,0.998,TF-IDF,nearest_neighbors,6
9,0.182,0.102,0.899,Share of Top 30 (L1 Norm),nearest_neighbors,9
9,0.169,0.101,0.994,TF-IDF,nearest_neighbors,5
9,0.168,0.1,0.952,TF-IDF,nearest_neighbors,10
9,0.166,0.1,0.919,L2 Normalization,nearest_neighbors,6
9,0.177,0.098,0.934,Share of Top 30 (L1 Norm),nearest_neighbors,10
9,0.162,0.097,0.914,TF-IDF,nearest_neighbors,9
9,0.158,0.095,0.999,TF-IDF,nearest_neighbors,4
9,0.158,0.095,0.845,TF-IDF,nearest_neighbors,8
9,0.145,0.092,0.994,L2 Normalization,nearest_neighbors,4
9,0.149,0.091,0.912,L2 Normalization,nearest_neighbors,5
9,0.146,0.091,0.95,TF-IDF,nearest_neighbors,7
10,0.203,0.119,0.874,L2 Normalization,nearest_neighbors,8
10,0.206,0.118,0.934,L2 Normalization,nearest_neighbors,10
10,0.165,0.116,0.883,Share of Total,nearest_neighbors,9
10,0.171,0.114,0.957,Share of Top 30 (L1 Norm),nearest_neighbors,4
10,0.168,0.114,0.88,Share of Total,nearest_neighbors,10
10,0.191,0.113,0.89,L2 Normalization,nearest_neighbors,7
10,0.185,0.113,0.961,Share of Total,nearest_neighbors,5
10,0.16,0.113,0.97,Share of Top 30 (L1 Norm),nearest_neighbors,5
10,0.187,0.111,0.963,L2 Normalization,nearest_neighbors,6
10,0.184,0.111,0.767,L2 Normalization,nearest_neighbors,9
10,0.167,0.111,0.942,Share of Total,nearest_neighbors,7
10,0.177,0.11,0.803,Share of Top 30 (L1 Norm),nearest_neighbors,8
10,0.169,0.109,0.888,Share of Top 30 (L1 Norm),nearest_neighbors,6
10,0.159,0.108,0.77,Share of Total,nearest_neighbors,8
10,0.183,0.107,0.832,Share of Top 30 (L1 Norm),nearest_neighbors,9
10,0.17,0.106,0.967,Share of Total,nearest_neighbors,6
10,0.171,0.104,0.981,L2 Normalization,nearest_neighbors,4
10,0.179,0.101,0.949,Share of Top 30 (L1 Norm),nearest_neighbors,7
10,0.172,0.101,0.945,TF-IDF,nearest_neighbors,10
10,0.168,0.099,0.934,TF-IDF,nearest_neighbors,9
10,0.164,0.098,0.977,TF-IDF,nearest_neighbors,6
10,0.144,0.097,0.999,Share of Total,nearest_neighbors,4
10,0.162,0.096,0.991,TF-IDF,nearest_neighbors,5
10,0.168,0.095,0.838,Share of Top 30 (L1 Norm),nearest_neighbors,10
10,0.162,0.095,0.955,TF-IDF,nearest_neighbors,8
10,0.156,0.095,0.89,TF-IDF,nearest_neighbors,7
10,0.155,0.094,0.881,L2 Normalization,nearest_neighbors,5
10,0.156,0.093,0.988,TF-IDF,nearest_neighbors,4
11,0.204,0.119,0.795,L2 Normalization,nearest_neighbors,9
11,0.189,0.118,0.945,Share of Total,nearest_neighbors,7
11,0.2,0.117,0.871,L2 Normalization,nearest_neighbors,8
11,0.196,0.117,0.934,L2 Normalization,nearest_neighbors,4
11,0.189,0.115,0.918,Share of Total,nearest_neighbors,5
11,0.185,0.115,0.878,Share of Top 30 (L1 Norm),nearest_neighbors,8
11,0.184,0.115,0.922,Share of Top 30 (L1 Norm),nearest_neighbors,9
11,0.154,0.114,0.944,Share of Top 30 (L1 Norm),nearest_neighbors,4
11,0.189,0.112,0.969,L2 Normalization,nearest_neighbors,5
11,0.18,0.112,0.899,Share of Total,nearest_neighbors,8
11,0.191,0.111,0.905,L2 Normalization,nearest_neighbors,10
11,0.153,0.109,0.847,Share of Total,nearest_neighbors,10
11,0.143,0.109,0.875,Share of Total,nearest_neighbors,9
11,0.183,0.107,0.886,L2 Normalization,nearest_neighbors,7
11,0.163,0.107,0.99,Share of Total,nearest_neighbors,4
11,0.169,0.106,0.915,Share of Top 30 (L1 Norm),nearest_neighbors,7
11,0.162,0.106,0.727,Share of Top 30 (L1 Norm),nearest_neighbors,10
11,0.14,0.106,0.899,Share of Top 30 (L1 Norm),nearest_neighbors,5
11,0.162,0.105,0.873,Share of Top 30 (L1 Norm),nearest_neighbors,6
11,0.174,0.104,0.888,L2 Normalization,nearest_neighbors,6
11,0.168,0.103,0.946,Share of Total,nearest_neighbors,6
11,0.167,0.1,0.915,TF-IDF,nearest_neighbors,9
11,0.162,0.097,0.885,TF-IDF,nearest_neighbors,8
11,0.158,0.094,0.967,TF-IDF,nearest_neighbors,5
11,0.157,0.093,0.881,TF-IDF,nearest_neighbors,10
11,0.156,0.093,0.945,TF-IDF,nearest_neighbors,6
11,0.142,0.088,0.904,TF-IDF,nearest_neighbors,7
11,0.14,0.085,0.976,TF-IDF,nearest_neighbors,4
12,0.183,0.114,0.93,Share of Total,nearest_neighbors,7
12,0.165,0.113,0.935,Share of Total,nearest_neighbors,8
12,0.192,0.112,0.919,L2 Normalization,nearest_neighbors,9
12,0.167,0.112,0.761,Share of Total,nearest_neighbors,9
12,0.146,0.111,0.891,Share of Top 30 (L1 Norm),nearest_neighbors,4
12,0.181,0.11,0.872,Share of Top 30 (L1 Norm),nearest_neighbors,9
12,0.164,0.11,0.843,Share of Total,nearest_neighbors,10
12,0.187,0.109,0.863,L2 Normalization,nearest_neighbors,10
