k,Silhouette_mean (cosine),Silhouette_mean (euclidean),ARI_mean,scaler,geometry,n_neighbors
4,0.359,0.202,0.985,Share of Top 30 (L1 Norm),cosine,20
4,0.359,0.197,0.985,Share of Total,cosine,20
4,0.325,0.188,1.0,Share of Top 30 (L1 Norm),cosine,5
4,0.325,0.187,1.0,Share of Total,cosine,5
5,0.337,0.193,0.998,Share of Top 30 (L1 Norm),cosine,8
5,0.337,0.184,0.998,Share of Total,cosine,8
5,0.33,0.189,1.0,Share of Top 30 (L1 Norm),cosine,9
5,0.33,0.18,1.0,Share of Total,cosine,9
5,0.317,0.182,1.0,Share of Top 30 (L1 Norm),cosine,6
5,0.317,0.177,1.0,Share of Total,cosine,6
5,0.313,0.177,0.968,Share of Top 30 (L1 Norm),cosine,19
5,0.313,0.175,1.0,Share of Top 30 (L1 Norm),cosine,13
5,0.313,0.173,0.968,Share of Total,cosine,19
5,0.313,0.172,1.0,Share of Total,cosine,13
5,0.312,0.175,0.985,Share of Top 30 (L1 Norm),cosine,20
5,0.312,0.171,0.985,Share of Total,cosine,20
5,0.311,0.173,0.949,Share of Top 30 (L1 Norm),cosine,15
5,0.311,0.172,0.992,Share of Top 30 (L1 Norm),cosine,16
5,0.311,0.172,0.981,Share of Top 30 (L1 Norm),cosine,18
5,0.311,0.169,0.992,Share of Total,cosine,16
5,0.311,0.169,0.981,Share of Total,cosine,18
5,0.311,0.168,0.949,Share of Total,cosine,15
5,0.31,0.171,0.978,Share of Top 30 (L1 Norm),cosine,17
5,0.31,0.168,0.978,Share of Total,cosine,17
5,0.308,0.171,1.0,Share of Top 30 (L1 Norm),cosine,5
5,0.308,0.171,1.0,Share of Total,cosine,5
5,0.308,0.171,0.975,Share of Top 30 (L1 Norm),cosine,14
5,0.308,0.165,0.975,Share of Total,cosine,14
5,0.307,0.17,0.973,Share of Top 30 (L1 Norm),cosine,12
5,0.307,0.164,0.973,Share of Total,cosine,12
5,0.304,0.168,0.999,Share of Top 30 (L1 Norm),cosine,10
5,0.304,0.167,0.961,Share of Top 30 (L1 Norm),cosine,11
5,0.304,0.162,0.999,Share of Total,cosine,10
5,0.304,0.159,0.961,Share of Total,cosine,11
5,0.302,0.169,0.989,Share of Top 30 (L1 Norm),cosine,7
5,0.302,0.163,0.989,Share of Total,cosine,7
6,0.351,0.196,0.982,Share of Top 30 (L1 Norm),cosine,5
6,0.351,0.19,0.982,Share of Total,cosine,5
6,0.33,0.184,0.99,Share of Top 30 (L1 Norm),cosine,6
6,0.33,0.18,0.99,Share of Total,cosine,6
6,0.322,0.177,0.983,Share of Top 30 (L1 Norm),cosine,7
6,0.322,0.173,0.983,Share of Total,cosine,7
6,0.321,0.179,0.99,Share of Top 30 (L1 Norm),cosine,16
6,0.321,0.173,0.99,Share of Total,cosine,16
6,0.32,0.178,0.983,Share of Top 30 (L1 Norm),cosine,15
6,0.32,0.177,0.965,Share of Top 30 (L1 Norm),cosine,13
6,0.32,0.172,0.983,Share of Total,cosine,15
6,0.32,0.17,0.965,Share of Total,cosine,13
6,0.317,0.177,0.947,Share of Top 30 (L1 Norm),cosine,17
6,0.317,0.169,0.947,Share of Total,cosine,17
6,0.315,0.176,0.946,Share of Top 30 (L1 Norm),cosine,14
